Iteration 10400/1000000: loss: 0.3475, pearson: 0.6445
Iteration 10500/1000000: loss: 0.3034, pearson: 0.6450
Iteration 10600/1000000: loss: 0.3010, pearson: 0.6456
Iteration 10700/1000000: loss: 0.2627, pearson: 0.6461
Iteration 10800/1000000: loss: 0.3058, pearson: 0.6467
Iteration 10900/1000000: loss: 0.3244, pearson: 0.6472
Iteration 11000/1000000: loss: 0.3154, pearson: 0.6478
Iteration 11100/1000000: loss: 0.3382, pearson: 0.6483
Iteration 11200/1000000: loss: 0.3142, pearson: 0.6489
Iteration 11300/1000000: loss: 0.2979, pearson: 0.6495
Iteration 11400/1000000: loss: 0.3075, pearson: 0.6500
Iteration 11500/1000000: loss: 0.3661, pearson: 0.6505
Iteration 11600/1000000: loss: 0.3885, pearson: 0.6511
Iteration 11700/1000000: loss: 0.2967, pearson: 0.6516
Iteration 11800/1000000: loss: 0.3325, pearson: 0.6520
Iteration 11900/1000000: loss: 0.2904, pearson: 0.6525
Iteration 12000/1000000: loss: 0.2742, pearson: 0.6530
Iteration 12100/1000000: loss: 0.3643, pearson: 0.6535
Iteration 12200/1000000: loss: 0.3482, pearson: 0.6540
Iteration 12300/1000000: loss: 0.3308, pearson: 0.6544
Iteration 12400/1000000: loss: 0.3258, pearson: 0.6550
Iteration 12500/1000000: loss: 0.2775, pearson: 0.6554
Iteration 12600/1000000: loss: 0.3153, pearson: 0.6559
Iteration 12700/1000000: loss: 0.3177, pearson: 0.6564
Iteration 12800/1000000: loss: 0.3317, pearson: 0.6569
Iteration 12900/1000000: loss: 0.2924, pearson: 0.6573
Iteration 13000/1000000: loss: 0.3282, pearson: 0.6577
Iteration 13100/1000000: loss: 0.3186, pearson: 0.6582
Iteration 13200/1000000: loss: 0.2796, pearson: 0.6586
Iteration 13300/1000000: loss: 0.2974, pearson: 0.6590
Iteration 13400/1000000: loss: 0.2805, pearson: 0.6595
Iteration 13500/1000000: loss: 0.2871, pearson: 0.6599
Iteration 13600/1000000: loss: 0.3459, pearson: 0.6603
Iteration 13700/1000000: loss: 0.2957, pearson: 0.6607
Iteration 13800/1000000: loss: 0.3054, pearson: 0.6611
Iteration 13900/1000000: loss: 0.2916, pearson: 0.6615
Iteration 14000/1000000: loss: 0.2577, pearson: 0.6618
Iteration 14100/1000000: loss: 0.2722, pearson: 0.6622
Iteration 14200/1000000: loss: 0.3772, pearson: 0.6626
Iteration 14300/1000000: loss: 0.2723, pearson: 0.6629
Iteration 14400/1000000: loss: 0.3321, pearson: 0.6633
Iteration 14500/1000000: loss: 0.2714, pearson: 0.6636
Iteration 14600/1000000: loss: 0.3009, pearson: 0.6639
Iteration 14700/1000000: loss: 0.3561, pearson: 0.6642
Iteration 14800/1000000: loss: 0.3317, pearson: 0.6645
Iteration 14900/1000000: loss: 0.2922, pearson: 0.6648
Iteration 15000/1000000: loss: 0.2339, pearson: 0.6651
Iteration 15100/1000000: loss: 0.2860, pearson: 0.6654
Iteration 15200/1000000: loss: 0.3304, pearson: 0.6657
Iteration 15300/1000000: loss: 0.2926, pearson: 0.6660
Iteration 15400/1000000: loss: 0.3539, pearson: 0.6662
Iteration 15500/1000000: loss: 0.2838, pearson: 0.6665
Iteration 15600/1000000: loss: 0.3595, pearson: 0.6668
Iteration 15700/1000000: loss: 0.2696, pearson: 0.6671
Iteration 15800/1000000: loss: 0.2556, pearson: 0.6673
Iteration 15900/1000000: loss: 0.2884, pearson: 0.6675
Iteration 16000/1000000: loss: 0.3047, pearson: 0.6678
Iteration 16100/1000000: loss: 0.2937, pearson: 0.6680
Iteration 16200/1000000: loss: 0.2894, pearson: 0.6683
Iteration 16300/1000000: loss: 0.2776, pearson: 0.6686
Iteration 16400/1000000: loss: 0.3139, pearson: 0.6687
