Iteration 10700/100000: loss: 0.8205, pearson: 0.3646
Iteration 10800/100000: loss: 0.8774, pearson: 0.3673
Iteration 10900/100000: loss: 0.8750, pearson: 0.3700
Iteration 11000/100000: loss: 0.8359, pearson: 0.3725
Iteration 11100/100000: loss: 0.8274, pearson: 0.3755
Iteration 11200/100000: loss: 0.8311, pearson: 0.3784
Iteration 11300/100000: loss: 0.8111, pearson: 0.3809
Iteration 11400/100000: loss: 0.7456, pearson: 0.3828
Iteration 11500/100000: loss: 0.7421, pearson: 0.3850
Iteration 11600/100000: loss: 0.7758, pearson: 0.3874
Iteration 11700/100000: loss: 0.8003, pearson: 0.3902
Iteration 11800/100000: loss: 0.6891, pearson: 0.3934
Iteration 11900/100000: loss: 0.9780, pearson: 0.3958
Iteration 12000/100000: loss: 0.7362, pearson: 0.3983
Iteration 12100/100000: loss: 0.7969, pearson: 0.4013
Iteration 12200/100000: loss: 0.7802, pearson: 0.4047
Iteration 12300/100000: loss: 0.8308, pearson: 0.4075
Iteration 12400/100000: loss: 0.7536, pearson: 0.4099
Iteration 12500/100000: loss: 0.6861, pearson: 0.4127
Iteration 12600/100000: loss: 0.8381, pearson: 0.4147
Iteration 12700/100000: loss: 0.6927, pearson: 0.4177
Iteration 12800/100000: loss: 0.7419, pearson: 0.4203
Iteration 12900/100000: loss: 0.8047, pearson: 0.4230
Iteration 13000/100000: loss: 0.7602, pearson: 0.4255
Iteration 13100/100000: loss: 0.7711, pearson: 0.4278
Iteration 13200/100000: loss: 0.7018, pearson: 0.4309
Iteration 13300/100000: loss: 0.7356, pearson: 0.4333
Iteration 13400/100000: loss: 0.7756, pearson: 0.4360
Iteration 13500/100000: loss: 0.7273, pearson: 0.4386
Iteration 13600/100000: loss: 0.6533, pearson: 0.4414
Iteration 13700/100000: loss: 0.7485, pearson: 0.4445
Iteration 13800/100000: loss: 0.7476, pearson: 0.4468
Iteration 13900/100000: loss: 0.6819, pearson: 0.4491
Iteration 14000/100000: loss: 0.6722, pearson: 0.4517
Iteration 14100/100000: loss: 0.7785, pearson: 0.4540
Iteration 14200/100000: loss: 0.6482, pearson: 0.4568
Iteration 14300/100000: loss: 0.7178, pearson: 0.4590
Iteration 14400/100000: loss: 0.5876, pearson: 0.4617
Iteration 14500/100000: loss: 0.6801, pearson: 0.4642
Iteration 14600/100000: loss: 0.6818, pearson: 0.4669
Iteration 14700/100000: loss: 0.6681, pearson: 0.4692
Iteration 14800/100000: loss: 0.7082, pearson: 0.4714
Iteration 14900/100000: loss: 0.6398, pearson: 0.4735
Iteration 15000/100000: loss: 0.7298, pearson: 0.4760
Iteration 15100/100000: loss: 0.6812, pearson: 0.4782
Iteration 15200/100000: loss: 0.6610, pearson: 0.4804
Iteration 15300/100000: loss: 0.6905, pearson: 0.4829
Iteration 15400/100000: loss: 0.6246, pearson: 0.4854
Iteration 15500/100000: loss: 0.6364, pearson: 0.4877
Iteration 15600/100000: loss: 0.7256, pearson: 0.4902
Iteration 15700/100000: loss: 0.6986, pearson: 0.4928
Iteration 15800/100000: loss: 0.6157, pearson: 0.4951
Iteration 15900/100000: loss: 0.6534, pearson: 0.4972
Iteration 16000/100000: loss: 0.5807, pearson: 0.4994
Iteration 16100/100000: loss: 0.5471, pearson: 0.5016
Iteration 16200/100000: loss: 0.5537, pearson: 0.5044
Iteration 16300/100000: loss: 0.6376, pearson: 0.5068
Iteration 16400/100000: loss: 0.6387, pearson: 0.5089
Iteration 16500/100000: loss: 0.5644, pearson: 0.5110
Iteration 16600/100000: loss: 0.6690, pearson: 0.5136
Iteration 16700/100000: loss: 0.6075, pearson: 0.5157
Iteration 16800/100000: loss: 0.6809, pearson: 0.5179
Iteration 16900/100000: loss: 0.6033, pearson: 0.5200
Iteration 17000/100000: loss: 0.5900, pearson: 0.5225
Iteration 17100/100000: loss: 0.6893, pearson: 0.5249
Iteration 17200/100000: loss: 0.5362, pearson: 0.5271
Iteration 17300/100000: loss: 0.5639, pearson: 0.5294
Iteration 17400/100000: loss: 0.6461, pearson: 0.5316
Iteration 17500/100000: loss: 0.5306, pearson: 0.5339
Iteration 17600/100000: loss: 0.5790, pearson: 0.5361
Iteration 17700/100000: loss: 0.5155, pearson: 0.5384
Iteration 17800/100000: loss: 0.6359, pearson: 0.5407
Iteration 17900/100000: loss: 0.5815, pearson: 0.5428
Iteration 18000/100000: loss: 0.6170, pearson: 0.5450
Iteration 18100/100000: loss: 0.5796, pearson: 0.5474
Iteration 18200/100000: loss: 0.5638, pearson: 0.5497
Iteration 18300/100000: loss: 0.5170, pearson: 0.5518
Iteration 18400/100000: loss: 0.5734, pearson: 0.5539
Iteration 18500/100000: loss: 0.5486, pearson: 0.5565
Iteration 18600/100000: loss: 0.5361, pearson: 0.5590
Iteration 18700/100000: loss: 0.5031, pearson: 0.5611
Iteration 18800/100000: loss: 0.6443, pearson: 0.5632
Iteration 18900/100000: loss: 0.4956, pearson: 0.5654
Iteration 19000/100000: loss: 0.4786, pearson: 0.5675
Iteration 19100/100000: loss: 0.5740, pearson: 0.5696
Iteration 19200/100000: loss: 0.5590, pearson: 0.5718
Iteration 19300/100000: loss: 0.4899, pearson: 0.5737
Iteration 19400/100000: loss: 0.5067, pearson: 0.5754
Iteration 19500/100000: loss: 0.5373, pearson: 0.5772
Iteration 19600/100000: loss: 0.6081, pearson: 0.5788
Iteration 19700/100000: loss: 0.5003, pearson: 0.5802
Iteration 19800/100000: loss: 0.4194, pearson: 0.5815
Iteration 19900/100000: loss: 0.5350, pearson: 0.5828
Iteration 20000/100000: loss: 0.6740, pearson: 0.5839
Iteration 20100/100000: loss: 0.5696, pearson: 0.5848
Iteration 20200/100000: loss: 0.5154, pearson: 0.5858
Iteration 20300/100000: loss: 0.4425, pearson: 0.5866
Iteration 20400/100000: loss: 0.5569, pearson: 0.5874
Iteration 20500/100000: loss: 0.6073, pearson: 0.5879
Iteration 20600/100000: loss: 0.4734, pearson: 0.5884
Iteration 20700/100000: loss: 0.4885, pearson: 0.5890
Iteration 20800/100000: loss: 0.5731, pearson: 0.5894
Iteration 20900/100000: loss: 0.4889, pearson: 0.5898
Iteration 21000/100000: loss: 0.4403, pearson: 0.5902
Iteration 21100/100000: loss: 0.4883, pearson: 0.5905
Iteration 21200/100000: loss: 0.5688, pearson: 0.5909
Iteration 21300/100000: loss: 0.4792, pearson: 0.5911
Iteration 21400/100000: loss: 0.5561, pearson: 0.5913
Iteration 21500/100000: loss: 0.5228, pearson: 0.5914
Iteration 21600/100000: loss: 0.5251, pearson: 0.5915
Iteration 21700/100000: loss: 0.5048, pearson: 0.5919
Iteration 21800/100000: loss: 0.5010, pearson: 0.5920
Iteration 21900/100000: loss: 0.5809, pearson: 0.5921
Iteration 22000/100000: loss: 0.5542, pearson: 0.5923
Iteration 22100/100000: loss: 0.5430, pearson: 0.5924
Iteration 22200/100000: loss: 0.3798, pearson: 0.5925
Iteration 22300/100000: loss: 0.6721, pearson: 0.5924
Iteration 22400/100000: loss: 0.4991, pearson: 0.5926
Iteration 22500/100000: loss: 0.5216, pearson: 0.5928
