Iteration 200/100000: loss: 2.2032, pearson: 0.2169
Iteration 400/100000: loss: 2.2575, pearson: 0.1860
Iteration 600/100000: loss: 2.4136, pearson: 0.1512
Iteration 800/100000: loss: 2.2318, pearson: 0.1919
Iteration 1000/100000: loss: 2.5694, pearson: 0.1464
Iteration 1200/100000: loss: 2.2201, pearson: 0.1550
Iteration 1400/100000: loss: 1.9997, pearson: 0.1681
Iteration 1600/100000: loss: 2.2995, pearson: 0.1748
Iteration 1800/100000: loss: 2.5619, pearson: 0.1770
Iteration 2000/100000: loss: 2.3052, pearson: 0.1814
Iteration 2200/100000: loss: 2.5292, pearson: 0.1849
Iteration 2400/100000: loss: 2.2116, pearson: 0.1913
Iteration 2600/100000: loss: 2.4347, pearson: 0.2023
Iteration 2800/100000: loss: 2.3940, pearson: 0.2114
Iteration 3000/100000: loss: 2.6220, pearson: 0.2125
Iteration 3200/100000: loss: 2.3891, pearson: 0.2170
Iteration 3400/100000: loss: 2.3684, pearson: 0.2217
Iteration 3600/100000: loss: 2.6195, pearson: 0.2244
Iteration 3800/100000: loss: 2.5380, pearson: 0.2344
Iteration 4000/100000: loss: 2.5158, pearson: 0.2348
Iteration 4200/100000: loss: 2.0535, pearson: 0.2402
Iteration 4400/100000: loss: 2.7236, pearson: 0.2441
Iteration 4600/100000: loss: 2.5933, pearson: 0.2528
Iteration 4800/100000: loss: 2.6178, pearson: 0.2601
Iteration 5000/100000: loss: 2.4736, pearson: 0.2601
Iteration 5200/100000: loss: 2.6774, pearson: 0.2614
Iteration 5400/100000: loss: 2.6451, pearson: 0.2671
Iteration 5600/100000: loss: 2.6307, pearson: 0.2686
Iteration 5800/100000: loss: 2.6271, pearson: 0.2652
Iteration 6000/100000: loss: 2.2655, pearson: 0.2640
Iteration 6200/100000: loss: 2.2401, pearson: 0.2659
Iteration 6400/100000: loss: 2.5470, pearson: 0.2649
Iteration 6600/100000: loss: 2.2816, pearson: 0.2636
Iteration 6800/100000: loss: 1.9945, pearson: 0.2665
Iteration 7000/100000: loss: 2.4710, pearson: 0.2696
Iteration 7200/100000: loss: 2.3245, pearson: 0.2723
Iteration 7400/100000: loss: 2.3105, pearson: 0.2711
Iteration 7600/100000: loss: 2.3312, pearson: 0.2781
Iteration 7800/100000: loss: 2.5561, pearson: 0.2811
Iteration 8000/100000: loss: 2.3839, pearson: 0.2819
Iteration 8200/100000: loss: 2.5750, pearson: 0.2822
